word,count
SONA,65
THE,55
RT,53
TO,36
SA,34
OF,30
ANG,20
NA,19
NG,14
AND,14
5TH,13
MGA,12
IN,11
FOR,11
DUTERTE,10
DUTERTES,10
WE,9
PRESIDENT,8
MY,8
WITH,8
NI,7
2020,7
THIS,7
COVID19,7
THAT,7
A,6
MAY,6
I,6
AMP;,6
TAG,5
IS,5
ON,5
HIS,5
UP,5
PA,5
KO,4
RIN,4
STATE,4
PRES,4
KA,4
ROA,4
SI,4
FIRST,4
DI,4
RODRIGO,4
THEY,4
STUDENT,4
YUNG,4
YA,4
SONA2020,4
YOU,4
WAY,4
GLOBE,3
WOULD,3
LANG,3
RAPPLERDOTCOM:,3
HIM,3
LIKE,3
IF,3
ONE,3
ME,3
OWN,3
SILA,3
DAPAT,3
AT,3
FROM,3
ARAW,3
HER,3
BEFORE,3
NAMAN,3
PRESS,3
EVERYONE,3
ITS,3
THA,3
CONGRESS,3
COUNCIL,3
KHARAASONA,3
DURING,3
SONAGKAISA,3
FRANKLIN,2
EXECUTIVE,2
SAAN,2
HA,2
PERO,2
POSTSONA,2
HINDI,2
21,2
MESSAGE,2
KANYANG,2
PROTEST,2
SABI,2
DRILON,2
QUE,2
SENATE,2
THALAAJITHFC,2
TOTALLY,2
KU,2
ABOUT,2
NGAYONG,2
YOUR,2
HOGA,2
RELATED,2
|,2
CLEAR,2
NAKITA,2
GROUPS,2
DISCUSSIONS,2
PROTESTA,2
EVEN,2
MUJHE,2
BAYANIHAN,2
HUMAN,2
TAYONG,2
WAKASONA2020,2
PLEASE,2
REACH,2
PRESIDENTS,2
WAG,2
HELD,2
AFTER,2
PAGE,2
OFWS,2
ALSO,2
CNNPHILIPPINES:,2
FC,2
ANCALERTS:,2
LA,2
WALANG,2
F…,2
CAN,2
HERE,2
PROVIDED,2
ONLY,2
DONT,2
MATAPOS,2
PARA,2
TAYO,2
ACT,2
WHY,2
SHARES,2
ZUBIRI,2
VALIMAI,2
GOVERNMENTS,2
KUNG,2
WHAT,2
NANGA,2
BE,2
THROUGH,2
PERSONA,2
KACHRA,2
BHAI,2
GMANEWS:,2
OUR,2
KAR,2
TWEET,2
HAVE,2
LAW,2
COVERS,2
PANGULO,2
GET,2
WAR,2
TE,2
REACT,2
SAID,2
SAME,2
SIYA,2
NADINE,2
BA,2
HE,2
STEP,2
EARLIER,2
LOOK:,2
TEST,2
AJITHKUMAR,2
【ジェジュン】,2
FANS,2
RIGHTS,2
AGAIN,2
KATRINADOMINGO,2
NO,2
WAS,2
AKO,2
AFTERNOON,2
MABUTI,2
LEADER,2
UPDATE,2
TAPOS,2
WONT,2
THALAAJITH,2
PANDEMIC,2
NEW,2
PALA,2
PASSAGE,2
WHICH,2
HEALTH,2
TIME,2
BUT,2
5,2
TOWERNAMBA:,2
AS,2
AGAINST,2
DILIMAN,2
NATION,2
REAPERSZN,2
BILLS,2
RESPONSE,2
WERE,2
REQUEST,2
GIVE,2
COVID,2
MARACEPEDA,2
CHINESE,1
ERKANGA,1
TELCOS,1
NAME,1
DISPLACED,1
CHARLISCTEX:,1
BHEELNANDU,1
RECOVERY,1
SIN,1
CELEBRITIES,1
ABSCBNNEWS,1
NILOCKDOWN,1
LEAD,1
650000,1
HTTPS://TCO/RXPLFCA9DA,1
JOKE,1
ATTENDING,1
WITHOUT,1
CHRGOVPH,1
CIRE41:,1
YO,1
CAMPUS,1
NEWS:,1
LIYA,1
HTTPS://TCO/WTFCJZZE1L,1
UPSYSTEM,1
DAILYGUARDIANPH:,1
NAGKAROON,1
VIA,1
三浦春馬,1
GATHER,1
DEDO,1
NAGANAP,1
DDS:,1
…,1
PAKIKINIG,1
DA,1
PAGBABAGO,1
DIN,1
TRUE,1
😂😂,1
BONITO,1
BY,1
Y,1
JADINETRASH:,1
STIPEND,1
SB19NIZED:,1
ASKS,1
ELAN,1
OLMALI,1
SHUJOPRIME:,1
ALMOST,1
ILL,1
STANDING,1
THESE,1
JUAN,1
DOWN,1
ARTFIGHT,1
REITERATE,1
ILA…,1
CANNOT,1
VP,1
EXCUSES:,1
RUINING,1
ULIT,1
HANSSENSANTHONY:,1
LINGERING,1
HTTPS://TCO/YVEOXWQ0GT,1
DANUSH,1
STAUNCH,1
SONA😢😢,1
OUT,1
KAHAPON,1
READ,1
NALAIKU,1
JAB,1
THEEXWHOGOTHOT,1
STUPID,1
LEADERS,1
KAMING,1
さんが本誌に見せてくれた素顔の数々をグラビアで振り返ります。毎年恒例「好きなジャニーズ,1
YOUTUBE,1
MALALA,1
ISNT,1
REPATRIATED,1
GVT,1
HTTPS://TCO/7ACRWA6X6Q,1
FASTNESS,1
TODAY,1
TREATMENT,1
KAYO,1
MUJY,1
ANYARE,1
BAGONG,1
ERBAŞ,1
LISTENING,1
ZEROHUMOUR,1
PRES:,1
KARPIKA,1
MARVSMODEL,1
SENIOR,1
【ジェジュン】大ヒットしたカバーアルバムの第2弾「LOVE,1
TWITTER,1
PLAN,1
HTTPS://TCO/HQ14YGO6LU,1
ESP,1
HTTPS://TCO/AQRFUUJS0I,1
BATTLES,1
PUSHED,1
